#
# PrefAttach(100000, 3) in Degree. G(100000, 299994). 28500 (0.2850) nodes with in-deg > avg deg (6.0), 7650 (0.0765) with >2*avg.deg (Tue Jul 20 13:52:14 2021)
#
# In-degree	Count
3	40107
4	19962
5	11431
6	7112
7	4790
8	3368
9	2462
10	1761
11	1357
12	1071
13	906
14	671
15	590
16	471
17	389
18	357
19	306
20	263
21	243
22	187
23	170
24	167
25	146
26	121
27	116
28	91
29	91
30	83
31	65
32	71
33	55
34	62
35	48
36	40
37	40
38	48
39	35
40	40
41	34
42	30
43	26
44	24
45	26
46	29
47	25
48	16
49	21
50	19
51	9
52	13
53	16
54	6
55	20
56	16
57	12
58	17
59	15
60	8
61	6
62	14
63	5
64	10
65	10
66	2
67	7
68	11
69	14
70	4
71	4
72	5
73	9
74	4
75	9
76	3
77	5
78	5
79	4
80	8
81	2
82	4
83	3
84	2
85	1
86	7
87	3
88	7
89	3
90	5
91	3
92	6
93	6
94	2
95	2
96	4
97	2
98	2
99	2
100	2
101	3
103	5
104	2
105	2
106	3
107	1
108	2
109	3
110	1
111	1
112	3
113	1
116	3
117	2
118	1
119	2
120	2
122	1
123	1
124	3
126	2
128	1
130	1
131	1
132	1
133	2
136	1
140	1
141	1
143	1
144	2
145	1
146	1
148	1
151	1
153	1
154	1
155	3
156	1
157	2
158	1
162	1
164	1
165	1
166	1
168	2
169	1
170	1
176	1
178	2
179	2
183	1
187	1
188	1
193	1
212	1
219	1
224	1
231	1
238	1
239	1
243	1
244	1
256	2
257	1
260	1
261	1
270	2
279	1
292	1
306	1
314	1
319	1
334	1
357	1
360	1
412	1
448	1
458	1
603	1
657	1
710	1
747	1
879	1
909	1
